Elm Park|0.200311564|51.54920911|6
Elmers End|-0.047979561|51.39779044|S
Elverson Road|-0.014766759|51.46817948|2/3
Embankment|-0.120562428|51.50694137|1
Emerson Park|0.221721192|51.56818654|6
Emirates Greenwich Penisula|0.008312|51.499771|S
Emirates Royal Docks|0.018|51.507697|S
Enfield Town|-0.077733958|51.65163779|5
Epping|0.115641374|51.69306818|6
Euston|-0.132992071|51.52757668|1
Euston Square|-0.134270582|51.52512499|1
Fairlop|0.092688126|51.59505439|4
Farringdon|-0.103582415|51.51996102|1
Fieldway|-0.022640017|51.3504305|S
Finchley Central|-0.190951925|51.60043321|4
Finchley Road|-0.179489511|51.54672589|2
Finchley Road & Frognal|-0.181637018|51.54982406|2
Finsbury Park|-0.105068129|51.56406609|2
Forest Gate|0.02615387|51.54895648|3
Forest Hill|-0.051690278|51.43872534|3
Fulham Broadway|-0.193168686|51.48025536|2
Gallions Reach|0.073386821|51.50846722|3
Gants Hill|0.067825538|51.57602949|4
George Street|-0.097458992|51.37338118|S
Gidea Park|0.2071101|51.58117713|6
Gloucester Road|-0.182135121|51.49397763|1
Golders Green|-0.192420671|51.57178437|3
Goldhawk Road|-0.225049873|51.50148234|2
Goodge Street|-0.132736642|51.52009307|1
Goodmayes|0.112414564|51.56500163|4
Gospel Oak|-0.149494861|51.55486145|2
Grange Hill|0.093957755|51.61269646|4
Gravel Hill|-0.041304236|51.35401751|S
Great Portland Street|-0.142685711|51.52333822|1
Green Park|-0.140937126|51.50635747|1
Greenford|-0.34492109|51.54208841|4
Greenwich|-0.011836627|51.47760944|2/3
Gunnersbury|-0.273547129|51.49123204|3
Hackney Central|-0.055208719|51.54652805|2
Hackney Downs|-0.059252378|51.54844772|2
Hackney Wick|-0.021765777|51.54302792|2
Haggerston|-0.073966769|51.53852752|2
Hainault|0.095143844|51.60313737|4
Hammersmith|-0.22144689|51.49148885|2
Hampstead|-0.17692039|51.55608598|2/3
Hampstead Heath|-0.164099101|51.55475816|2
Hanger Lane|-0.291095909|51.52968038|3
Hanwell|-0.3386|51.5118|4
Harlesden|-0.256997378|51.53619355|3
Harold Wood|0.234666819|51.59219909|6
Harringay Green Lanes|-0.096693484|51.57659043|3
Harrington Road|-0.058885135|51.3991503|S
Harrow & Wealdstone|-0.333300136|51.59154651|5
Harrow-on-the-Hill|-0.33516664|51.57891586|5
Hatch End|-0.367177631|51.60890473|6
Hatton Cross|-0.42189306|51.4661174|5/6
Hayes & Harlington|-0.4207|51.503|5
Headstone Lane|-0.355651952|51.60209779|5
Heathrow Terminal 4|-0.444145672|51.45802947|6
Heathrow Terminal 5|-0.486475608|51.47201647|6
Heathrow Terminals 2 & 3|-0.450857772|51.47079421|6
Hendon Central|-0.224748399|51.58267136|3/4
Heron Quays|-0.019832666|51.50281981|2
High Barnet|-0.192561468|51.65002914|5
High Street Kensington|-0.190607248|51.49993492|1
Highams Park|0.00150512|51.607873|4
Highbury & Islington|-0.102125867|51.54691824|2
Highgate|-0.144860652|51.577342|3
Hillingdon|-0.447812239|51.55344939|6
Holborn|-0.1188087|51.51706879|1
Holland Park|-0.204062863|51.50664438|2
Holloway Road|-0.111653531|51.55225038|2
Homerton|-0.040627028|51.54649227|2
Honor Oak Park|-0.044096334|51.44940041|3
Hornchurch|0.220754707|51.55353835|6
Hounslow Central|-0.364716069|51.470809|4
Hounslow East|-0.3547554|51.47275219|4
Hounslow West|-0.384218262|51.47310845|5
Hoxton|-0.074056385|51.53093841|1/2
Hyde Park Corner|-0.152546395|51.50224103|1
Ickenham|-0.440467266|51.56146986|6
Ilford|0.07080065|51.55848898|4
Imperial Wharf|-0.181347614|51.47457995|2
Island Gardens|-0.008883221|51.48754261|2
Kennington|-0.104357247|51.48782707|2
Kensal Green|-0.222882378|51.5300656|2
Kensal Rise|-0.218097094|51.53413249|2
Kensington (Olympia)|-0.208533266|51.49722528|2
Kentish Town|-0.13914119|51.54978865|2
Kentish Town West|-0.145240267|51.54596266|2
Kenton|-0.315140189|51.58111281|4
Kew Gardens|-0.283453589|51.47648632|3/4
Kilburn|-0.203115567|51.54644842|2
Kilburn High Road|-0.190635722|51.53680577|2
Kilburn Park|-0.192420271|51.53444139|2
King George V|0.063920007|51.50151128|3
King Henry's Drive|-0.018665196|51.3448509|S
King's Cross St Pancras|-0.123168404|51.52927728|1
Kingsbury|-0.277052309|51.58414203|4
Knightsbridge|-0.159863737|51.50073061|1
Ladbroke Grove|-0.209304449|51.51681261|2
Lambeth North|-0.110624882|51.49833058|1
Lancaster Gate|-0.173843886|51.51117805|1
Langdon Park|-0.012505001|51.51456754|2
Latimer Road|-0.216257476|51.51295039|2
Lebanon Road|-0.08389645|51.37468254|S
Leicester Square|-0.126725567|51.51089472|1
Lewisham|-0.012465383|51.46513641|2/3
Leyton|-0.00386474|51.55609689|3
Leyton Midland Road|-0.00583941|51.56914561|3
Leytonstone|0.009807678|51.56781496|3/4
Leytonstone High Road|0.009121703|51.56347619|3
Limehouse|-0.038095069|51.51179704|2
Liverpool Street|-0.081601363|51.5168424|1
Lloyd Park|-0.079087981|51.36367068|S
London Bridge|-0.088037808|51.50455372|1
London City Airport|0.04977043|51.50315378|3
London Fields|-0.056359095|51.54052142|2
Loughton|0.056970973|51.6408144|6
Maida Vale|-0.184228557|51.52922219|2
Manor House|-0.094452148|51.57024769|2/3
Manor Park|0.047651015|51.55189321|3/4
Mansion House|-0.092495313|51.51130597|1
Marble Arch|-0.155755638|51.51309055|1
Maryland|0.007539167|51.54554249|3
Marylebone|-0.162637346|51.52165079|1
Merton Park|-0.199772348|51.41320626|S
Mile End|-0.032150165|51.52472507|2
Mill Hill East|-0.208460194|51.60773582|4
Mitcham|-0.16947597|51.39700089|S
Mitcham Junction|-0.155733719|51.39213248|S
Monument|-0.084502291|51.51020898|1
Moor Park|-0.430710233|51.6293749|6/7
Moorgate|-0.087700241|51.5178533|1
Morden|-0.193160282|51.40201673|4
Morden Road|-0.191339995|51.408346|S
Mornington Crescent|-0.137143461|51.53419787|2
Mudchute|-0.013413578|51.49037168|2
Neasden|-0.24957656|51.5539234|3
New Addington|-0.015617483|51.34195708|S
New Cross|-0.030648703|51.47590464|2
New Cross Gate|-0.038716887|51.47449297|2
Newbury Park|0.091554903|51.57519974|4
North Acton|-0.258167978|51.52310534|2/3
North Ealing|-0.287236576|51.51697561|3
North Greenwich|0.005908784|51.50002099|2/3
North Harrow|-0.361021834|51.58444941|5
North Wembley|-0.302293996|51.56189247|4
Northfields|-0.311409865|51.49914634|3
Northholt|-0.367069735|51.54775741|5
Northwick Park|-0.316478653|51.57797585|4
Northwood|-0.422358538|51.61052039|6
Northwood Hills|-0.407168137|51.59969703|6
Norwood Junction|-0.073428759|51.39678711|4
Notting Hill Gate|-0.194491212|51.5086469|1/2
Oakwood|-0.129657109|51.64683948|5
Old Street|-0.086025441|51.52457628|1
Osterley|-0.350640896|51.48073359|4
Oval|-0.110799082|51.48132384|2
Oxford Circus|-0.140025246|51.51481046|1
Paddington|-0.173789485|51.51499491|1
Park Royal|-0.282378071|51.52597425|3
Parsons Green|-0.200166803|51.47447238|2
Peckham Rye|-0.067330906|51.46977879|2
Penge West|-0.059203378|51.41696823|4
Perivale|-0.32183979|51.53624702|4
Phipps Bridge|-0.180769806|51.40292944|S
Piccadilly Circus|-0.132081484|51.50955061|1
Pimlico|-0.132103672|51.48856954|1
Pinner|-0.379580851|51.59232907|5
Plaistow|0.018612643|51.53072137|3
Pontoon Dock|0.03485088|51.50176796|3
Poplar|-0.015607274|51.50720026|2
Preston Road|-0.293539223|51.57151381|4
Prince Regent|0.035815177|51.50885626|3
Pudding Mill Lane|-0.012349897|51.53368602|2/3
Putney Bridge|-0.207131382|51.46774182|2
Queen's Park|-0.204142926|51.53347212|2
Queens Road Peckham|-0.055827609|51.47310519|2
Queensbury|-0.284629817|51.59369962|4
Queensway|-0.185538472|51.50974305|1
Ravenscourt Park|-0.234181724|51.49365752|2
Rayners Lane|-0.369864752|51.57469667|5
Rectory Road|-0.066636749|51.55800392|2
Redbridge|0.047039301|51.5757446|4
Reeves Corner|-0.104688108|51.37426316|S
Regent's Park|-0.144708117|51.52277011|1
Richmond|-0.300084253|51.46260595|4
Rickmansworth|-0.472133393|51.63979883|7
Roding Valley|0.045340184|51.61657815|4
Romford|0.184863954|51.57454494|6
Rotherhithe|-0.050510094|51.50053752|2
Royal Albert|0.047489859|51.50789742|3
Royal Oak|-0.186186162|51.51854003|2
Royal Victoria|0.019349595|51.50871834|3
Ruislip|-0.420215108|51.57079343|6
Ruislip Gardens|-0.409140537|51.56027575|5
Ruislip Manor|-0.410235646|51.57297789|6
Russell Square|-0.122662273|51.52255053|1
Sandilands|-0.07612476|51.37441486|S
Seven Kings|0.098722803|51.5634541|4
Seven Sisters|-0.070894139|51.58289546|3
Shadwell|-0.055365921|51.51070004|2
Shenfield|0.331671253|51.6300009|S
Shepherd's Bush|-0.217238899|51.50384346|2
Shepherd's Bush Market|-0.224700725|51.50558155|2
Shoreditch High Street|-0.074700292|51.52285471|1
Silver Street|-0.065526104|51.61440848|4
Sloane Square|-0.15473274|51.49182524|1
Snaresbrook|0.023019902|51.58017276|4
South Acton|-0.268894276|51.49891951|3
South Ealing|-0.305919519|51.50039136|3
South Hampstead|-0.177570816|51.54111829|2
South Harrow|-0.350509518|51.56404932|5
South Kensington|-0.171564291|51.49357736|1
South Kenton|-0.306785037|51.56971265|4
South Quay|-0.017414424|51.50009877|2
South Ruislip|-0.39728854|51.55635983|5
South Tottenham|-0.070375895|51.58009969|3
South Wimbledon|-0.191711278|51.41446924|3/4
South Woodford|0.028990141|51.59138934|4
Southall|-0.3786|51.506|4
Southbury|-0.049888718|51.64825562|5
Southfields|-0.205058529|51.4445635|3
Southgate|-0.126150933|51.6317626|4
Southwark|-0.103788452|51.50377646|1
St James Street|-0.031370968|51.58045909|3
St James's Park|-0.132021543|51.49905006|1
St John's Wood|-0.172545248|51.53469852|2
St Paul's|-0.095907533|51.51444286|1
Stamford Brook|-0.244408726|51.49440814|2
Stamford Hill|-0.074878256|51.57418005|3
Stanmore|-0.30167142|51.61921632|5
Star Lane|0.005780604|51.52030887|2/3
Stepney Green|-0.044974603|51.52135166|2
Stockwell|-0.121436641|51.47131386|2
Stoke Newington|-0.070536111|51.56417453|2
Stonebridge Park|-0.27487576|51.54368887|3
Stratford|-0.002182514|51.54094802|2/3
Stratford High Street|0.000869889|51.53752645|2/3
Stratford International|-0.007832275|51.54433906|2/3
Sudbury Hill|-0.335039246|51.55646384|4
Sudbury Town|-0.314159662|51.55030341|4
